DATEI                          | IMPORT-TYP      | MODULE
test3.py                       | From-Import   | from matplotlib.colors import LightSource
test3.py                       | From-Import   | from matplotlib.animation import FuncAnimation
basis.py                       | From-Import   | from sympy.physics.hydrogen import R_nl
basis.py                       | From-Import   | from sympy import symbols, lambdify, Matrix, Znm
basis.py                       | Standard      | numpy
basis.py                       | From-Import   | from modules.hybrids import hybrids
mpl_widget_3d_.py              | From-Import   | from PyQt5.QtWidgets import QWidget, QVBoxLayout
mpl_widget_3d_.py              | From-Import   | from matplotlib.backends.backend_qt5agg import FigureCanvasQTAgg
mpl_widget_3d_.py              | From-Import   | from matplotlib.backends.backend_qt5agg import NavigationToolbar2QT
mpl_widget_3d_.py              | From-Import   | from matplotlib.figure import Figure
mpl_widget_3d_.py              | From-Import   | from mpl_toolkits.mplot3d import Axes3D
mpl_widget_3d_.py              | From-Import   | from PyQt5 import QtCore
custom.py                      | Standard      | numpy
custom.py                      | Standard      | matplotlib.pyplot
custom.py                      | From-Import   | from scipy.special import sph_harm_y
custom.py                      | From-Import   | from sympy.physics.hydrogen import R_nl
custom.py                      | From-Import   | from sympy import symbols, lambdify
custom.py                      | From-Import   | from skimage import measure
custom.py                      | From-Import   | from mpl_toolkits.mplot3d.art3d import Poly3DCollection
custom.py                      | From-Import   | from matplotlib.colors import LightSource
custom.py                      | From-Import   | from matplotlib.animation import FuncAnimation
custom.py                      | Standard      | matplotlib
window.py                      | From-Import   | from PyQt5 import QtCore, QtGui, QtWidgets
window.py                      | From-Import   | from modules.mpl_widget_2d import MplWidget_2d
window.py                      | From-Import   | from modules.mpl_widget_3d import MplWidget
window.py                      | From-Import   | from modules.mpl_widget_3d_ import MplWidget2
mpl_widget_2d.py               | From-Import   | from PyQt5.QtWidgets import QWidget, QVBoxLayout
mpl_widget_2d.py               | From-Import   | from matplotlib.backends.backend_qt5agg import FigureCanvasQTAgg
mpl_widget_2d.py               | From-Import   | from matplotlib.backends.backend_qt5agg import NavigationToolbar2QT
mpl_widget_2d.py               | From-Import   | from matplotlib.figure import Figure
mpl_widget_2d.py               | From-Import   | from PyQt5 import QtCore
mpl_widget_3d.py               | From-Import   | from PyQt5.QtWidgets import QWidget, QVBoxLayout
mpl_widget_3d.py               | From-Import   | from matplotlib.backends.backend_qt5agg import FigureCanvasQTAgg
mpl_widget_3d.py               | From-Import   | from matplotlib.backends.backend_qt5agg import NavigationToolbar2QT
mpl_widget_3d.py               | From-Import   | from matplotlib.figure import Figure
mpl_widget_3d.py               | From-Import   | from mpl_toolkits.mplot3d import Axes3D
mpl_widget_3d.py               | From-Import   | from PyQt5 import QtCore
hybrids.py                     | Standard      | numpy
